"DOI";"PublicationYear";"Venue";"Abstract";"WhichSearch";"Title";"CatLevel";"CatObjSubj";"CatFidelity";"HasBaseline";"HasPlacebo";"CS_HasAttentionCheck";"CS_HasDataQuality";"IsReproducible";"IsPreRegistered";"HasQuestionnaireValidation";"HasPreTesting";"HasLimitations";"SubsamplingGroup";"ParticipantCount";"ParticipantType";"NautaClassification"
NA;2018;"Proceedings of the 35th International Conference on Machine Learning";"We introduce instancewise feature selection as a methodology for model interpretation. Our method is based on learning a function to extract a subset of features that are most informative for each given example. This feature selector is trained to maximize the mutual information between selected features and the response variable, where the conditional distribution of the response variable given the input is the model to be explained. We develop an efficient variational approximation to the mutual information, and show the effectiveness of our method on a variety of synthetic and real data sets using both quantitative metrics and human evaluation.";"indirect";"Learning to Explain: An Information-Theoretic Perspective on Model Interpretation";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"crowdsourcing (AMT)";"FS"
NA;2018;"NIPS '18: Proceedings of the 32nd International Conference on Neural Information Processing Systems";"In this paper we propose a novel method that provides contrastive explanations justifying the classification of an input by a black box classifier such as a deep neural network. Given an input we find what should be minimally and sufficiently present (viz. important object pixels in an image) to justify its classification and analogously what should be minimally and necessarily \emph{absent} (viz. certain background pixels). We argue that such explanations are natural for humans and are used commonly in domains such as health care and criminology. What is minimally but critically \emph{absent} is an important part of an explanation, which to the best of our knowledge, has not been explicitly identified by current explanation methods that explain predictions of neural networks. We validate our approach on three real datasets obtained from diverse domains; namely, a handwritten digits dataset MNIST, a large procurement fraud dataset and a brain activity strength dataset. In all three cases, we witness the power of our approach in generating precise explanations that are also easy for human experts to understand and evaluate.";"indirect";"Explanations based on the Missing: Towards Contrastive Explanations with Pertinent Negatives";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"domain experts (criminology),domain experts (medical)";"FS,SS"
NA;2018;"NIPS '18: Proceedings of the 32nd International Conference on Neural Information Processing Systems";"We often desire our models to be interpretable as well as accurate. Prior work on optimizing models for interpretability has relied on easy-to-quantify proxies for interpretability, such as sparsity or the number of operations required. In this work, we optimize for interpretability by directly including humans in the optimization loop. We develop an algorithm that minimizes the number of user studies to find models that are both predictive and interpretable and demonstrate our approach on several data sets. Our human subjects results show trends towards different proxy notions of interpretability on different datasets, which suggests that different proxies are preferred on different tasks.";"indirect";"Human-in-the-Loop Interpretability Prior";"Understanding";"Objective";"No";FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;NA;FALSE;FALSE;"up to 2020";"16,33";"students (NA),crowdsourcing (AMT)";"FS"
"10.1109/CVPR.2018.00915";2018;"Proceedings of the IEEE conference on computer vision and pattern recognition";"Deep models that are both effective and explainable are desirable in many settings; prior explainable models have been unimodal, offering either image-based visualization of attention weights or text-based generation of post-hoc justifications. We propose a multimodal approach to explanation, and argue that the two modalities provide complementary explanatory strengths. We collect two new datasets to define and evaluate this task, and propose a novel model which can provide joint textual rationale generation and attention visualization. Our datasets define visual and textual justifications of a classification decision for activity recognition tasks (ACT-X) and for visual question answering tasks (VQA-X). We quantitatively show that training with the textual explanations not only yields better textual justification models, but also better localizes the evidence that supports the decision. We also qualitatively show cases where visual explanation is more insightful than textual explanation, and vice versa, supporting our thesis that multimodal explanation models offer significant benefits over unimodal approaches.";"indirect";"Multimodal Explanations: Justifying Decisions and Pointing to the Evidence";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"not stated (NA)";"SS"
"10.1609/aaai.v32i1.11491";2018;"Proceedings of the Thirty-Second AAAI Conference on Artificial Intelligence";"We introduce a novel model-agnostic system that explains the behavior of complex models with high-precision rules called anchors, representing local, sufficient conditions for predictions. We propose an algorithm to efficiently compute these explanations for any black-box model with high-probability guarantees. We demonstrate the flexibility of anchors by explaining a myriad of different models for different domains and tasks. In a user study, we show that anchors enable users to predict how a model would behave on unseen instances with less effort and higher precision, as compared to existing linear explanations or no explanations.";"indirect";"Anchors: High-Precision Model-Agnostic Explanations";"Understanding";"Objective";"No";TRUE;FALSE;NA;NA;TRUE;FALSE;NA;FALSE;TRUE;"up to 2020 , up to 2020";"26";"students (NA)";"FS,SC"
"10.1609/aaai.v32i1.11935";2018;"Proceedings of the AAAI Conference on Artificial Intelligence";"Prediction without justification has limited utility. Much of the success of neural models can be attributed to their ability to learn rich, dense and expressive representations. While these representations capture the underlying complexity and latent trends in the data, they are far from being interpretable. We propose a novel variant of denoising k-sparse autoencoders that generates highly efficient and interpretable distributed word representations (word embeddings), beginning with existing word representations from state-of-the-art methods like GloVe and word2vec. Through large scale human evaluation, we report that our resulting word embedddings are much more interpretable than the original GloVe and word2vec embeddings. Moreover, our embeddings outperform existing popular word embeddings on a diverse suite of benchmark downstream tasks.";"indirect";"SPINE: SParse Interpretable Neural Embeddings";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"crowdsourcing (AMT)";"ID"
"10.1145/3209978.3210010";2018;"The 41st international ACM SIGIR conference on research & development in information retrieval";"Explaining automatically generated recommendations allows users to make more informed and accurate decisions about which results to utilize, and therefore improves their satisfaction. In this work, we develop a multi-task learning solution for explainable recommendation. Two companion learning tasks of user preference modeling for recommendation and opinionated content modeling for explanation are integrated via a joint tensor factorization. As a result, the algorithm predicts not only a user's preference over a list of items, i.e., recommendation, but also how the user would appreciate a particular item at the feature level, i.e., opinionated textual explanation. Extensive experiments on two large collections of Amazon and Yelp reviews confirmed the effectiveness of our solution in both recommendation and explanation tasks, compared with several existing recommendation algorithms. And our extensive user study clearly demonstrates the practical value of the explainable recommendations generated by our algorithm.";"indirect";"Explainable Recommendation via Multi-Task Learning in Opinionated Text Data";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"crowdsourcing (AMT)";"SS"
NA;2018;"NIPS '18: Proceedings of the 32nd International Conference on Neural Information Processing Systems";"We present Multi-value Rule Sets (MRS) for interpretable classification with feature efficient presentations. Compared to rule sets built from single-valued rules, MRS adopts a more generalized form of association rules that allows multiple values in a condition. Rules of this form are more concise than classical single-valued rules in capturing and describing patterns in data. Our formulation also pursues a higher efficiency of feature utilization, which reduces possible cost in data collection and storage. We propose a Bayesian framework for formulating a MRS model and propose an efficient inference method for learning a maximum a posteriori, incorporating theoretically grounded bounds to iteratively reduce the search space and improve the search efficiency. Experiments on synthetic and real-world data demonstrate that MRS models have significantly smaller complexity and fewer features than baseline models while being competitive in predictive accuracy.";"indirect";"Multi-value Rule Sets for Interpretable Classification with Feature-Efficient Representations";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"70";"students (NA)";"FS"
"10.1109/ICDM.2018.00074";2018;"2018 IEEE international conference on data mining (ICDM)";"Explainable recommendation, which provides explanations about why an item is recommended, has attracted increasing attention due to its ability in helping users make better decisions and increasing users' trust in the system. Existing explainable recommendation methods either ignore the working mechanism of the recommendation model or are designed for a specific recommendation model. Moreover, it is difficult for existing methods to ensure the presentation quality of the explanations (e.g., consistency). To solve these problems, we design a reinforcement learning framework for explainable recommendation. Our framework can explain any recommendation model (model-agnostic) and can flexibly control the explanation quality based on the application scenario. To demonstrate the effectiveness of our framework, we show how it can be used for generating sentence-level explanations. Specifically, we instantiate the explanation generator in the framework with a personalized-attention-based neural network. Offline experiments demonstrate that our method can well explain both collaborative filtering methods and deep-learning-based models. Evaluation with human subjects shows that the explanations generated by our method are significantly more useful than the explanations generated by the baselines.";"indirect";"A Reinforcement Learning Framework for Explainable Recommendation";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"domain experts (Yelp users)";"SS,SC"
"10.1109/CVPR.2018.00928";2018;"Proceedings of IEEE Conference on Computer Vision and Pattern Recognition";"Interpretability of a deep neural network aims to explain the rationale behind its decisions and enable the users to understand the intelligent agents, which has become an important issue due to its importance in practical applications. To address this issue, we develop a Distillation Guided Routing method, which is a flexible framework to interpret a deep neural network by identifying critical data routing paths and analyzing the functional processing behavior of the corresponding layers. Specifically, we propose to discover the critical nodes on the data routing paths during network inferring prediction for individual input samples by learning associated control gates for each layer's output channel. The routing paths can, therefore, be represented based on the responses of concatenated control gates from all the layers, which reflect the network's semantic selectivity regarding to the input patterns and more detailed functional process across different layer levels. Based on the discoveries, we propose an adversarial sample detection algorithm by learning a classifier to discriminate whether the critical data routing paths are from real or adversarial samples. Experiments demonstrate that our algorithm can effectively achieve high defense rate with minor training overhead.";"indirect";"Interpret Neural Networks by Identifying Critical Data Routing Paths";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"400";"crowdsourcing (AMT)";"SS"
"10.1145/3178876.3185995";2018;"WWW '18: Proceedings of the 2018 World Wide Web Conference";"Despite outperforming humans in many tasks, deep neural network models are also criticized for the lack of transparency and interpretability in decision making. The opaqueness results in uncertainty and low confidence when deploying such a model in model sharing scenarios, where the model is developed by a third party. For a supervised machine learning model, sharing training process including training data is a way to gain trust and to better understand model predictions. However, it is not always possible to share all training data due to privacy and policy constraints. In this paper, we propose a method to disclose a small set of training data that is just sufficient for users to get the insight into a complicated model. The method constructs a boundary tree using selected training data and the tree is able to approximate the complicated deep neural network models with high fidelity. We show that data point pairs in the tree give users significantly better understanding of the model decision boundaries and paves the way for trustworthy model sharing.";"indirect";"Sharing Deep Neural Network Models with Interpretation";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20";"not stated (NA)";"SC,FS"
"10.1007/978-3-319-90403-0_12";2018;"Human and Machine Learning: Visible, Explainable, Trustworthy and Transparent";"Trust plays an important role in various user-facing systems and applications. It is particularly important in the context of decision support systems, where the system’s output serves as one of the inputs for the users’ decision making processes. In this chapter, we study the dynamics of explicit and implicit user trust in a simulated automated quality monitoring system, as a function of the system accuracy. We establish that users correctly perceive the accuracy of the system and adjust their trust accordingly. The results also show notable differences between two groups of users and indicate a possible threshold in the acceptance of the system. This important learning can be leveraged by designers of practical systems for sustaining the desired level of user trust.";"indirect";"Do I Trust a Machine? Differences in User Trust Based on System Performance";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"22";"students (NA),other (IT professionals)";"SS"
"10.24963/ijcai.2019/184";2019;"IJCAI'19: Proceedings of the 28th International Joint Conference on Artificial Intelligence";"We present a user study to investigate the impact of explanations on non-experts? understanding of reinforcement learning (RL) agents. We investigate both a common RL visualization, saliency maps (the focus of attention), and a more recent explanation type, reward-decomposition bars (predictions of future types of rewards). We designed a 124 participant, four-treatment experiment to compare participants? mental models of an RL agent in a simple Real-Time Strategy (RTS) game. Our results show that the combination of both saliency and reward bars were needed to achieve a statistically significant improvement in mental model score over the control. In addition, our qualitative analysis of the data reveals a number of effects for further study.";"indirect";"Explaining Reinforcement Learning to Mere Mortals: An Empirical Study";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"208";"other (online survey respondents)";"SC,SS"
"10.1609/hcomp.v7i1.5285";2019;"Proceedings of the AAAI Conference on Human Computation and Crowdsourcing";"Decisions made by human-AI teams (e.g., AI-advised humans) are increasingly common in high-stakes domains such as healthcare, criminal justice, and finance. Achieving high team performance depends on more than just the accuracy of the AI system: Since the human and the AI may have different expertise, the highest team performance is often reached when they both know how and when to complement one another. We focus on a factor that is crucial to supporting such complementary: the human’s mental model of the AI capabilities, specifically the AI system’s error boundary (i.e. knowing “When does the AI err?”). Awareness of this lets the human decide when to accept or override the AI’s recommendation. We highlight two key properties of an AI’s error boundary, parsimony and stochasticity, and a property of the task, dimensionality. We show experimentally how these properties affect humans’ mental models of AI capabilities and the resulting team performance. We connect our evaluations to related work and propose goals, beyond accuracy, that merit consideration during model selection and optimization to improve overall human-AI team performance.";"indirect";"Beyond Accuracy: The Role of Mental Models in Human-AI Team Performance";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"crowdsourcing (AMT)";"FS,SC"
NA;2018;"International Conference on Learning Representations";"We study instancewise feature importance scoring as a method for model interpretation. Any such method yields, for each predicted instance, a vector of importance scores associated with the feature vector. Methods based on the Shapley score have been proposed as a fair way of computing feature attributions of this kind, but incur an exponential complexity in the number of features. This combinatorial explosion arises from the definition of the Shapley value and prevents these methods from being scalable to large data sets and complex models. We focus on settings in which the data have a graph structure, and the contribution of features to the target variable is well-approximated by a graph-structured factorization. In such settings, we develop two algorithms with linear complexity for instancewise feature importance scoring. We establish the relationship of our methods to the Shapley value and another closely related concept known as the Myerson value from cooperative game theory. We demonstrate on both language and image data that our algorithms compare favorably with other methods for model interpretation.";"indirect";"L-Shapley and C-Shapley: Efficient Model Interpretation for Structured Data";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"crowdsourcing (AMT)";"FS,SC"
"10.1609/aaai.v33i01.33013622";2019;"Proceedings of the AAAI Conference on Artificial Intelligence";"Recommender systems have been playing an increasingly important role in our daily life due to the explosive growth of information. Accuracy and explainability are two core aspects when we evaluate a recommendation model and have become one of the fundamental trade-offs in machine learning. In this paper, we propose to alleviate the trade-off between accuracy and explainability by developing an explainable deep model that combines the advantages of deep learning-based models and existing explainable methods. The basic idea is to build an initial network based on an explainable deep hierarchy (e.g., Microsoft Concept Graph) and improve the model accuracy by optimizing key variables in the hierarchy (e.g., node importance and relevance). To ensure accurate rating prediction, we propose an attentive multi-view learning framework. The framework enables us to handle sparse and noisy data by co-regularizing among different feature levels and combining predictions attentively. To mine readable explanations from the hierarchy, we formulate personalized explanation generation as a constrained tree node selection problem and propose a dynamic programming algorithm to solve it. Experimental results show that our model outperforms state-of-the-art methods in terms of both accuracy and explainability.";"indirect";"Explainable Recommendation through Attentive Multi-View Learning";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20";"domain experts (Yelp reviewers)";"SS"
NA;2019;"Proceedings of the 33rd International Conference on Neural Information Processing Systems";"Interpretability has become an important topic of research as more machine learning (ML) models are deployed and widely used to make important decisions. Most of the current explanation methods provide explanations through feature importance scores, which identify features that are important for each individual input. However, how to systematically summarize and interpret such per sample feature importance scores itself is challenging. In this work, we propose principles and desiderata for\emph {concept} based explanation, which goes beyond per-sample features to identify higher level human-understandable concepts that apply across the entire dataset. We develop a new algorithm, ACE, to automatically extract visual concepts. Our systematic experiments demonstrate that\alg discovers concepts that are human-meaningful, coherent and important for the neural network's predictions.";"indirect";"Towards Automatic Concept-based Explanations";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"30";"not stated (NA)";"ID"
NA;2019;"Proceedings of the 36th International Conference on Machine Learning";"In this work, we develop a technique to produce counterfactual visual explanations. Given a ‘query’image  for which a vision system predicts class , a counterfactual visual explanation identifies how  could change such that the system would output a different specified class . To do this, we select a ‘distractor’image  that the system predicts as class  and identify spatial regions in  and  such that replacing the identified region in  with the identified region in  would push the system towards classifying  as . We apply our approach to multiple image classification datasets generating qualitative results showcasing the interpretability and discriminativeness of our counterfactual explanations. To explore the effectiveness of our explanations in teaching humans, we present machine teaching experiments for the task of fine-grained bird classification. We find that users trained to distinguish bird species fare better when given access to counterfactual explanations in addition to training examples.";"indirect";"Counterfactual Visual Explanations";"Understanding";"Objective";"Low";TRUE;FALSE;NA;NA;FALSE;FALSE;FALSE;TRUE;FALSE;"up to 2020";"26";"students (NA)";"TA"
"10.1609/hcomp.v7i1.5280";2019;"Proceedings of the AAAI Conference on Human Computation and Crowdsourcing";"Recent years have seen a boom in interest in interpretable machine learning systems built on models that can be understood, at least to some degree, by domain experts. However, exactly what kinds of models are truly human-interpretable remains poorly understood. This work advances our understanding of precisely which factors make models interpretable in the context of decision sets, a specific class of logic-based model. We conduct carefully controlled human-subject experiments in two domains across three tasks based on human-simulatability through which we identify specific types of complexity that affect performance more heavily than others-trends that are consistent across tasks and domains. These results can inform the choice of regularizers during optimization to learn more interpretable models, and their consistency suggests that there may exist common design principles for interpretable machine learning systems.";"direct";"Human Evaluation of Models Built for Interpretability";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"900";"crowdsourcing (AMT)";"FS"
"10.18653/v1/P19-1560";2019;"Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics";"Building explainable systems is a critical problem in the field of Natural Language Processing (NLP), since most machine learning models provide no explanations for the predictions. Existing approaches for explainable machine learning systems tend to focus on interpreting the outputs or the connections between inputs and outputs. However, the fine-grained information (e.g. textual explanations for the labels) is often ignored, and the systems do not explicitly generate the human-readable explanations. To solve this problem, we propose a novel generative explanation framework that learns to make classification decisions and generate fine-grained explanations at the same time. More specifically, we introduce the explainable factor and the minimum risk training approach that learn to generate more reasonable explanations. We construct two new datasets that contain summaries, rating scores, and fine-grained reasons. We conduct experiments on both datasets, comparing with several strong neural network baseline systems. Experimental results show that our method surpasses all baselines on both datasets, and is able to generate concise explanations at the same time.";"indirect";"Towards Explainable NLP: A Generative Explanation Framework for Text Classification";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"crowdsourcing (AMT)";"SC"
"10.1145/3331184.3331306";2019;"Proceedings of the 42nd International ACM SIGIR Conference on Research and Development in Information Retrieval";"We examine the interpretability of search results in current web search engines through a lab user study. Particularly, we evaluate search result summary as an interpretable technique that informs users why the system retrieves a result and to which extent the result is useful. We collected judgments about 1,252 search results from 40 users in 160 sessions. Experimental results indicate that the interpretability of a search result summary is a salient factor influencing users' click decisions. Users are less likely to click on a result link if they do not understand why it was retrieved (low transparency) or cannot assess if the result would be useful based on the summary (low assessability). Our findings suggest it is crucial to improve the interpretability of search result summaries and develop better techniques to explain retrieved results to search engine users.";"indirect";"Understanding the Interpretability of Search Result Summaries";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"40";"students (NA),administrative staff (NA)";"SS"
